,Trial,Event Start Time,Event End Time,Event Duration,Fixation Position Centroid X,Fixation Position Centroid Y,Fixation Radius,Dispersion X,Dispersion Y
0,Trial001,4204874933.0,4204975049.0,100116.0,565.3175,339.48499999999996,7.790525094626206,6.217499999999973,1.4349999999999454
1,Trial001,4205041591.0,4205041591.0,0.0,652.21,526.56,0.0,0.0,0.0
2,Trial001,4205108393.0,4205208380.0,99987.0,662.4200000000001,340.3175,7.052404288609711,6.210000000000036,2.947499999999991
3,Trial001,4205308765.0,4205708292.0,399527.0,671.5376923076923,102.7969230769231,9.930884972214738,1.877692307692314,6.516923076923092
4,Trial001,4205774956.0,4206241672.0,466716.0,695.1253333333334,514.7606666666667,37.45232305508192,22.705333333333442,11.240666666666698
5,Trial001,4206308241.0,4206474890.0,166649.0,777.7099999999999,597.8733333333333,19.091202453253377,16.499999999999886,9.603333333333353
6,Trial001,4206574881.0,4206874834.0,299953.0,717.1969999999999,447.963,12.349088144474528,8.336999999999875,3.3629999999999995
7,Trial001,4206974824.0,4207274806.0,299982.0,780.751,666.978,20.007094366749026,18.000999999999976,11.657999999999902
8,Trial001,4207341494.0,4207574646.0,233152.0,803.0875,352.00625,33.4376777799012,7.5575000000000045,31.336250000000007
9,Trial001,4207641433.0,4207941400.0,299967.0,683.601,465.52799999999996,6.649434938398949,4.2309999999999945,2.477999999999952
10,Trial001,4208041260.0,4208341356.0,300096.0,662.357,647.476,27.170010765548035,26.78699999999992,7.966000000000008
11,Trial001,4208408014.0,4208674667.0,266653.0,748.7122222222223,627.1555555555556,17.71609758327854,17.26222222222225,2.465555555555511
12,Trial001,4208741309.0,4208874784.0,133475.0,825.876,705.1379999999999,6.100888459888417,4.975999999999999,5.45799999999997
13,Trial001,4208941173.0,4209074596.0,133423.0,828.542,376.17400000000004,2.5562824570067355,2.5020000000000664,1.76400000000001
14,Trial001,4209141260.0,4209607884.0,466624.0,791.1619999999998,279.11333333333334,10.74930455631651,5.5519999999997935,6.893333333333317
15,Trial001,4209674569.0,4209874390.0,199821.0,708.03,448.4371428571429,3.370560723653695,3.25,1.1371428571428623
16,Trial001,4209941173.0,4210174404.0,233231.0,604.8325,422.18000000000006,52.5833324947173,8.412500000000023,43.17000000000007
17,Trial001,4210241138.0,4210574447.0,333309.0,687.1118181818182,449.27818181818185,9.140201274525847,7.801818181818248,7.478181818181838
18,Trial001,4210640986.0,4210941075.0,300089.0,578.5870000000001,484.197,9.615869071488005,1.6370000000000573,8.107000000000028
19,Trial001,4211041018.0,4211174373.0,133355.0,657.2959999999999,642.574,13.133211793007733,12.825999999999908,2.8239999999999554
20,Trial001,4211241037.0,4211307694.0,66657.0,827.7133333333333,685.6533333333333,5.542372135547104,2.5633333333332757,5.50333333333333
21,Trial001,4211374357.0,4211507709.0,133352.0,829.1200000000001,257.798,6.585608855679131,3.3900000000001,2.397999999999996
22,Trial001,4211574329.0,4211807803.0,233474.0,745.84375,158.0375,45.97113872107697,45.69375000000002,6.66749999999999
23,Trial001,4211874537.0,4211974172.0,99635.0,623.0500000000001,164.745,4.015448293777396,1.6700000000000728,3.384999999999991
24,Trial001,4212074503.0,4212274264.0,199761.0,560.1842857142857,562.4771428571429,5.512404009067462,5.4742857142856565,2.237142857142885
25,Trial001,4212340934.0,4212440921.0,99987.0,544.67,652.9175,6.936728785962394,3.6200000000000045,5.837499999999977
26,Trial001,4212507580.0,4213807306.0,1299726.0,487.4682499999999,653.6724999999999,63.61391372421987,61.53824999999989,22.952499999999873
27,Trial001,4213874088.0,4214340579.0,466491.0,605.8253333333334,661.2966666666666,31.997646052309683,14.36533333333341,18.74666666666667
28,Trial001,4214407367.0,4214707339.0,299972.0,395.898,700.713,12.595105914600278,4.398000000000025,10.822999999999979
29,Trial001,4214807202.0,4215174283.0,367081.0,503.6908333333333,632.0283333333333,48.47474861690592,39.08083333333326,7.638333333333321
30,Trial001,4215273919.0,4215773903.0,499984.0,387.930625,431.365625,46.8654817753029,27.97062500000004,19.55562500000002
31,Trial001,4215873895.0,4216373687.0,499792.0,439.67375000000004,206.43937499999998,12.283909778776655,6.833750000000066,12.279374999999987
32,Trial001,4216440474.0,4216573797.0,133323.0,402.142,117.46400000000001,11.689930709803187,9.921999999999969,1.6840000000000117
33,Trial001,4216640450.0,4216774190.0,133740.0,432.2780000000001,217.77399999999997,9.202445327194383,9.198000000000093,2.163999999999959
34,Trial001,4216840435.0,4217040419.0,199984.0,582.8357142857143,211.47142857142856,10.532113089140704,3.5557142857143162,10.521428571428572
35,Trial001,4217106960.0,4217307070.0,200110.0,568.6428571428571,54.52428571428572,8.18675747528797,6.752857142857124,1.2642857142857196
36,Trial001,4217373714.0,4217573693.0,199979.0,656.3657142857144,45.88857142857143,6.25079015413417,3.225714285714389,5.088571428571434
37,Trial001,4217640355.0,4218673568.0,1033213.0,610.1253124999998,174.069375,27.141951797232174,22.97531249999986,16.229375000000005
38,Trial001,4218740113.0,4218873548.0,133435.0,650.5640000000001,66.988,14.442255364034997,7.814000000000078,6.4979999999999976
39,Trial001,4218940224.0,4219340166.0,399942.0,710.5446153846153,136.65846153846155,32.112898567987756,24.48461538461538,14.498461538461555
40,Trial001,4219406830.0,4219506817.0,99987.0,620.0275,153.2,2.263052418747764,1.3975000000000364,1.7800000000000011
41,Trial001,4219573323.0,4220107096.0,533773.0,666.6511764705881,42.4964705882353,13.510196444111186,13.00117647058812,4.0264705882352985
42,Trial001,4220173842.0,4220573791.0,399949.0,880.1315384615385,124.74076923076925,10.236531633402844,3.82153846153858,9.810769230769239
43,Trial001,4220640080.0,4220773238.0,133158.0,814.458,272.514,5.808769232806471,5.017999999999915,2.0640000000000214
44,Trial001,4220840005.0,4220973322.0,133317.0,830.508,395.254,6.281503004854865,0.84800000000007,6.224000000000046
45,Trial001,4221039985.0,4221139970.0,99985.0,852.435,700.3924999999999,6.395907382850343,4.034999999999968,4.962499999999977
46,Trial001,4221206629.0,4221373194.0,166565.0,920.5383333333334,697.4266666666666,5.671303250184783,5.658333333333417,1.4166666666666288
47,Trial001,4221440173.0,4221673208.0,233035.0,856.0550000000001,699.5225,7.227024370375435,5.665000000000077,2.2725000000000364
48,Trial001,4221773231.0,4222573218.0,799987.0,844.1504000000001,401.47,29.07252724067856,3.000400000000127,6.240000000000009
49,Trial001,4222673024.0,4222839780.0,166756.0,845.1850000000001,705.3383333333333,8.052798340397716,4.845000000000027,3.338333333333253
50,Trial001,4222906401.0,4223006310.0,99909.0,618.4625000000001,713.2450000000001,2.352058938462135,1.9025000000001455,1.1750000000000682
51,Trial001,4223106431.0,4223306288.0,199857.0,644.2614285714286,514.0285714285714,22.608755979460202,13.19142857142856,5.378571428571377
52,Trial001,4223372944.0,4223506315.0,133371.0,577.2,645.708,5.905739919772947,3.2100000000000364,5.807999999999993
53,Trial001,4223607332.0,4223806347.0,199015.0,701.2342857142858,444.9700000000001,14.55290657552358,12.764285714285734,2.7800000000000864
54,Trial001,4223872959.0,4224006337.0,133378.0,644.492,234.34400000000005,8.716248046034478,5.371999999999957,5.654000000000053
55,Trial001,4224073008.0,4224506281.0,133378.0,504.00642857142856,670.2907142857142,32.34163944262463,9.10642857142858,26.880714285714248
